site_id,handle,company,platform,status,system_ip,freepbx_version,asterisk_version,vm_id,call_center,device_count,features,acct_rep,monthly_cost
262,,,FreePBX,,69.39.69.171,15.0.23.11,16.27.0,,,0,,,
263,,,FreePBX,,69.39.69.172,15.0.23.11,16.27.0,,,0,,,
264,,,FreePBX,,69.39.69.173,15.0.23.17,16.27.0,,,0,,,
265,,,FreePBX,,69.39.69.174,15.0.23.17,16.24.1,,,0,,,
266,,,FreePBX,,69.39.69.175,15.0.23.17,16.27.0,,,0,,,
267,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
268,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
27,,,FreePBX,,205.251.183.30,14.0.17,14.7.5,,,0,,,
270,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
271,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
272,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
273,,,FreePBX,,69.39.69.177,15.0.23.17,16.27.0,,,0,,,
274,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
275,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
276,,,FreePBX,,69.39.69.97,15.0.23.17,16.27.0,,,0,,,
277,,,FreePBX,,69.39.69.176,15.0.23.17,16.28.0,,,0,,,
279,,,FreePBX,,69.39.69.179,15.0.23.25,16.28.0,,,0,,,
28,,,FreePBX,,205.251.183.31,14.0.17,14.7.5,,,0,,,
280,,,FreePBX,,69.39.69.180,15.0.23.25,16.28.0,,,0,,,
281,,,FreePBX,,69.39.69.181,15.0.23.25,16.28.0,,,0,,,
282,,,FreePBX,,69.39.69.182,15.0.23.25,16.28.0,,,0,,,
283,,,FreePBX,,69.39.69.183,15.0.23.25,16.28.0,,,0,,,
284,,,FreePBX,,69.39.69.184,15.0.23.25,16.28.0,,,0,,,
285,,,FreePBX,,69.39.69.185,15.0.24,16.28.0,,,0,,,
286,,,FreePBX,,70.91.228.53,15.0.23.25,16.28.0,,,0,,,
287,,,FreePBX,,69.39.69.186,15.0.24,16.28.0,,,0,,,
288,,,FreePBX,,69.39.69.187,15.0.24,16.28.0,,,0,,,
289,,,FreePBX,,69.39.69.188,15.0.24,16.28.0,,,0,,,
290,,,FreePBX,,69.39.69.189,15.0.24,16.28.0,,,0,,,
291,,,FreePBX,,69.39.69.190,15.0.24,16.29.1,,,0,,,
293,,,FreePBX,,69.39.69.192,15.0.24,16.29.1,,,0,,,
294,,,FreePBX,,69.39.69.193,15.0.24,16.29.1,,,0,,,
295,,,FreePBX,,69.39.69.194,15.0.24,16.29.1,,,0,,,
296,,,FreePBX,,69.39.69.195,15.0.24,16.29.1,,,0,,,
297,,,FreePBX,,69.39.69.196,15.0.29,16.30.0,,,0,,,
298,,,FreePBX,,69.39.69.197,15.0.24,16.29.1,,,0,,,
299,,,FreePBX,,69.39.69.198,15.0.24,16.29.1,,,0,,,
30,,,FreePBX,,205.251.183.33,15.0.17,16.20.0,,,0,,,
300,,,FreePBX,,69.39.69.199,15.0.29,16.30.0,,,0,,,
301,,,FreePBX,,69.39.69.200,15.0.29,16.30.0,,,0,,,
302,,,FreePBX,,69.39.69.201,15.0.29,16.30.0,,,0,,,
303,,,FreePBX,,69.39.69.202,15.0.29,16.30.0,,,0,,,
304,,,FreePBX,,69.39.69.203,15.0.29,16.30.0,,,0,,,
305,,,FreePBX,,69.39.69.204,15.0.29,16.30.0,,,0,,,
306,,,FreePBX,,69.39.69.205,15.0.29,16.30.0,,,0,,,
308,,,Unknown,,69.39.69.97,,,,,0,,,
310,,,FreePBX,,69.39.69.208,15.0.29,16.30.0,,,0,,,
311,,,FreePBX,,69.39.69.209,15.0.29,16.30.0,,,0,,,
312,,,FreePBX,,69.39.69.210,15.0.29,16.30.0,,,0,,,
314,,,FreePBX,,69.39.69.212,15.0.29,16.30.0,,,0,,,
315,,,FreePBX,,69.39.69.213,15.0.29,16.30.0,,,0,,,
316,,,FreePBX,,69.39.69.214,15.0.29,16.28.0,,,0,,,
317,,,FreePBX,,69.39.69.215,15.0.29,16.30.0,,,0,,,
318,,,FreePBX,,69.39.69.216,15.0.37,16.28.0,,,0,,,
319,,,FreePBX,,69.39.69.217,15.0.37,16.28.0,,,0,,,
32,,,FreePBX,,205.251.183.35,14.0.13.23 ,14.7.5,,,0,,,
321,,,FreePBX,,69.39.69.219,15.0.37,16.28.0,,,0,,,
322,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
323,,,FreePBX,,69.39.69.221,15.0.37,16.30.0,,,0,,,
324,,,FreePBX,,69.39.69.222,15.0.37,16.30.0,,,0,,,
325,,,FreePBX,,69.39.69.223,15.0.37,16.28.0,,,0,,,
326,,,FreePBX,,69.39.69.224,15.0.37,16.28.0,,,0,,,
329,,,FreePBX,,69.39.69.227,15.0.37,16.30.0,,,0,,,
33,,,FreePBX,,205.251.183.36,14.0.13.23,14.7.5,,,0,,,
330,,,FreePBX,,69.39.69.229,15.0.37,16.30.0,,,0,,,
331,,,FreePBX,,69.39.69.220,15.0.37,16.30.0,,,0,,,
332,,,FreePBX,,69.39.69.230,15.0.37,16.30.0,,,0,,,
333,,,FreePBX,,69.39.69.231,15.0.37,16.30.0,,,0,,,
334,,,FreePBX,,69.39.69.232,15.0.37,16.30.0,,,0,,,
335,,,FreePBX,,69.39.69.233,15.0.37,16.30.0,,,0,,,
337,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
338,,,FreePBX,,69.39.69.235,15.0.37,16.30.0,,,0,,,
339,,,FreePBX,,69.39.69.236,15.0.37.1,16.30.0,,,0,,,
34,,,FreePBX,,205.251.183.37,15.0.17,16.15.1,,,0,,,
340,,,FreePBX,,69.39.69.237,15.0.37.1,16.30.0,,,0,,,
341,,,FreePBX,,69.39.69.238,15.0.37.1,16.30.0,,,0,,,
342,,,FreePBX,,69.39.69.239,15.0.37.1,16.30.0,,,0,,,
343,,,FreePBX,,69.39.69.240,15.0.37.1,16.30.0,,,0,,,
344,,,FreePBX,,69.39.69.241,15.0.37.1,16.30.0,,,0,,,
345,,,FreePBX,,69.39.69.242,15.0.37.1,16.30.0,,,0,,,
347,,,FreePBX,,69.39.69.243,15.0.37.1,16.30.0,,,0,,,
348,,,FreePBX,,69.39.69.244,15.0.37.1,16.30.0,,,0,,,
349,,,FreePBX,,69.39.69.35,15.0.24,16.29.1,,,0,,,
35,,,FreePBX,,205.251.183.38,14.0.13.23,14.7.8,,,0,,,
350,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
351,,,FreePBX,,69.39.69.245,15.0.37.1,16.30.0,,,0,,,
352,,,FreePBX,,69.39.69.246,15.0.37.1,16.30.0,,,0,,,
353,,,FreePBX,,69.39.69.247,15.0.37.1,16.30.0,,,0,,,
355,,,FreePBX,,69.39.69.249,15.0.37.1,16.30.0,,,0,,,
356,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
357,,,FreePBX,,69.39.69.250,15.0.37.1,16.30.0,,,0,,,
358,,,FreePBX,,69.39.69.251,15.0.37.1,16.30.0,,,0,,,
359,,,FreePBX,,69.39.69.252,15.0.37.1,16.30.0,,,0,,,
36,,,FreePBX,,205.251.183.39,14.0.13.23,14.7.5,,,0,,,
360,,,FreePBX,,69.39.69.115,15.0.37.1,16.30.0,,,0,,,
361,,,FreePBX,,69.39.69.253,15.0.37.1,16.30.0,,,0,,,
362,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
363,,,FreePBX,,69.39.69.20,15.0.37.1,16.30.0,,,0,,,
364,,,FreePBX,,69.39.69.34,15.0.37.1,16.30.0,,,0,,,
365,,,FreePBX,,69.39.69.52,15.0.37.1,16.30.0,,,0,,,
366,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
367,,,FreePBX,,69.39.69.133,15.0.17,16.17.0,,,0,,,
368,,,FreePBX,,69.39.69.58,15.0.37.4,16.30.0,,,0,,,
369,,,FreePBX,,69.39.69.59,15.0.37.1,16.30.0,,,0,,,
370,,,FreePBX,,69.39.69.67,15.0.37.4,16.30.0,,,0,,,
371,,,FreePBX,,69.39.69.69,15.0.37.9,16.30.0,,,0,,,
372,,,FreePBX,,69.39.69.85,15.0.37.4,16.30.0,,,0,,,
373,,,FreePBX,,69.39.69.125,15.0.37.4,16.30.0,,,0,,,
374,,,FreePBX,,69.39.69.129,15.0.37.4,16.30.0,,,0,,,
375,,,FreePBX,,205.251.183.14,15.0.37.4,16.30.0,,,0,,,
376,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
377,,,FreePBX,,69.39.69.130,15.0.37.4,16.30.0,,,0,,,
378,,,FreePBX,,69.39.69.132,15.0.37.4,16.30.0,,,0,,,
379,,,FreePBX,,69.39.69.140,15.0.37.4,15.0.37.4,,,0,,,
38,,,FreePBX,,205.251.183.46,15.0.2,16.26.1,,,0,,,
380,,,FreePBX,,216.109.194.112,15.0.37.4,16.30.0,,,0,,,
381,,,FreePBX,,69.39.69.154,15.0.37.4,16.30.0,,,0,,,
382,,,Unknown,,69.39.69.155,,,,,0,,,
384,,,FreePBX,,69.39.69.191,15.0.37.4,16.30.0,,,0,,,
385,,,FreePBX,,69.39.69.206,15.0.37.4,16.30.0,,,0,,,
386,,,FreePBX,,216.109.194.105,15.0.37.4,16.30.0,,,0,,,
387,,,FreePBX,,216.109.194.106,15.0.37.4,16.30.0,,,0,,,
388,,,FreePBX,,216.109.194.107,15.0.37.4,16.30.0,,,0,,,
389,,,FreePBX,,216.109.194.108,15.0.37.4,16.30.0,,,0,,,
39,,,FreePBX,,205.251.183.49,15.0.17,16.15.1,,,0,,,
390,,,FreePBX,,216.109.194.109,15.0.37.4,16.30.0,,,0,,,
391,,,FreePBX,,216.109.194.110,15.0.37.4,16.30.0,,,0,,,
392,,,FreePBX,,216.109.194.111,15.0.37.4,16.30.0,,,0,,,
393,,,FreePBX,,216.109.194.113,15.0.37.4,16.30.0,,,0,,,
394,,,FreePBX,,216.109.194.114,16.0.40.7,18.20.2,,,0,,,
395,,,FreePBX,,216.109.194.115,15.0.37.4,16.30.0,,,0,,,
398,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
399,,,FreePBX,,162.254.68.50,123NET UC,123NET UC,,,0,,,
40,,,FreePBX,,205.251.183.53,15.0.16.81,16.13.0,,,0,,,
400,,,FreePBX,,216.109.194.118,16.0.40.7,18.20.2,,,0,,,
401,,,FreePBX,,216.109.194.119,16.0.40.7,18.20.2,,,0,,,
403,,,FreePBX,,216.109.194.121,16.0.40.7,18.20.2,,,0,,,
404,,,FreePBX,,69.39.69.13,FUSION,FUSION,,,0,,,
405,,,FreePBX,,216.109.194.122,16.0.40.7,18.20.2,,,0,,,
406,,,FreePBX,,216.109.194.123,16.0.40.7,18.20.2,,,0,,,
407,,,FreePBX,,216.109.194.124,16.0.40.7,18.20.2,,,0,,,
408,,,FreePBX,,216.109.194.125,16.0.40.7,18.20.2,,,0,,,
409,,,FreePBX,,216.109.194.126,16.0.40.7,18.20.2,,,0,,,
